directory,filename,project_directory,%_count,&_count,*_count,-_count,/_count,<_count,=_count,>_count,answer_count,append:toList:_count,bounceOffEdge_count,broadcast:_count,broadcasts_sent_to_received,call_count,changeGraphicEffect:by:_count,changeSizeBy:_count,changeVar:by:_count,changeVolumeBy:_count,changeXposBy:_count,changeYposBy:_count,clearPenTrails_count,comeToFront_count,concatenate:with:_count,costumeIndex_count,deleteLine:ofList:_count,doAsk_count,doBroadcastAndWait_count,doForever_count,doIfElse_count,doIf_count,doPlaySoundAndWait_count,doRepeat_count,doUntil_count,doWaitUntil_count,forward:_count,getAttribute:of:_count,getUserName_count,glideSecs:toX:y:elapsed:from:_count,goBackByLayers:_count,gotoSpriteOrMouse:_count,gotoX:y:_count,green_flag_to_total_scripts,heading:_count,heading_count,hideList:_count,hideVariable:_count,hide_count,lookLike:_count,mousePressed_count,mouseX_count,mouseY_count,nextCostume_count,nextScene_count,not_count,penColor:_count,penSize:_count,playSound:_count,pointTowards:_count,procDef_count,putPenDown_count,putPenUp_count,readVariable_count,say:_count,say:duration:elapsed:from:_count,scripts_with_whenGreenFlag,setGraphicEffect:to:_count,setRotationStyle_count,setSizeTo:_count,setVar:to:_count,setVolumeTo:_count,showList:_count,showVariable:_count,show_count,stampCostume_count,startSceneAndWait_count,startScene_count,stopAllSounds_count,stopScripts_count,think:_count,think:duration:elapsed:from:_count,total_scripts,touching:_count,touchingColor:_count,turnLeft:_count,turnRight:_count,wait:elapsed:from:_count,whenClicked_count,whenGreenFlag_count,whenIReceive_count,whenKeyPressed_count,whenSceneStarts_count,when_blocks,xpos:_count,yourself_count,ypos:_count,ypos_count
data/Scratch_Conf_data/1,about me sasha.sb2,1,,,,,,,,,,,,2,0.5,5,,4,,,,,,,,,,,1,4,,,5,4,,,4,,,,,,4,0.28,5,,,,4,3,,,,7,1,,,,,,5,,,,,10,7,,,1,,,,,5,,,,,,,1,25,,,,,8,4,7,4,4,,19,,,,
data/Scratch_Conf_data/2,About Me_Ai.sb2,2,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,5,,,4,,,2,,,10,0.8157894736842105,,,,,8,28,,,,,,,,,1,,,,,,,,31,,,,,,,,4,,2,11,,2,,,38,,,,,44,,31,1,5,,37,,,,
data/Scratch_Conf_data/2mazegamesdifferentmusic,Originallycomposedsoundjs.sb2,2mazegamesdifferentmusic,,,,,,,,,,,,5,0.45454545454545453,,,,,,,,,1,,,,,3,15,,16,2,2,,,8,,,9,,,1,0.5263157894736842,5,,,,3,,,,,2,,,,,4,,,,,6,,3,20,,,,8,,,,6,,,4,4,,,,38,,,,,6,,20,11,4,,35,,,,
data/Scratch_Conf_data/2mazegamesdifferentmusic,Soundfromgaragebandjs.sb2,2mazegamesdifferentmusic,,,,,,,,,,,,3,0.2727272727272727,,,,,,,,,1,,,,,1,13,,13,1,1,,,8,,,9,,,1,0.5454545454545454,5,,,,3,,,,,2,,,,,2,,,,,3,,3,18,,,,4,,,,6,,,3,3,,,,33,,,,,4,,18,11,4,,33,,,,
data/Scratch_Conf_data/3,Basket.sb2,3,1,1,,,2,,1,,,,,3,inf,,,,6,,6,13,,,,,,,,14,1,20,,8,2,,,,,2,4,,6,0.5483870967741935,,,,,,6,,,,,,7,,,,,,,,9,,,17,1,,,13,,,,2,,,,,3,,,31,7,1,2,2,7,,17,,3,,20,1,,1,
data/Scratch_Conf_data/4,Chi vuol essere Scratchonario-.sb2,4,,,1,1,1,,1,1,,6,,22,0.7586206896551724,,,,8,4,,,,,3,,5,,,18,3,56,,7,2,19,,,1,,,,13,0.21052631578947367,,,2,2,22,7,19,,,,,,,,3,,,,,42,17,8,8,,,,31,3,1,1,8,,1,1,,30,,,38,1,,,,16,,8,29,1,,38,,,,
data/Scratch_Conf_data/5,Cucina Molecolare - Perlificazione V2.sb2,5,,,,,,,,,,,,1,0.125,,,,,,,,1,2,,1,,,,1,6,7,,,,,,16,,,,,25,0.5263157894736842,4,1,,,,10,,1,1,,,,,,,,,,,,,,10,,,8,,,,,8,8,,,,,,,19,,,,,,1,10,8,,,19,,,,2
data/Scratch_Conf_data/Alexis,Sample Maze Game 1.sb2,Alexis,,,,,,,,,,,,,nan,,,,,,2,2,,,,,,,,5,,5,,,,,2,,,1,,,2,0.5555555555555556,4,,,,,,,,,2,,,,,,,,,,,,1,5,,,,,,,,,,,,,1,,,9,2,,2,,1,,5,,4,,9,,,,
data/Scratch_Conf_data/Alexis,Sample Maze Game 2.sb2,Alexis,,,,,,,,,,,,,nan,,,,,,2,2,,,,,,,,5,,5,,,,,2,,,1,,,2,0.5555555555555556,4,,,,,,,,,2,,,,,,,,,,,,1,5,,,,,,,,,,,,,1,,,9,2,,2,,1,,5,,4,,9,,,,
data/Scratch_Conf_data/Alexis,Sample Maze Game 3.sb2,Alexis,,,,,,,,,,,,,nan,,,,,,2,2,,,,,,,,5,,5,,,,,2,,,1,,,2,0.6,4,,,,,,,,,2,,,,,,,,,,,,1,6,,,,,,,,,,,2,,1,,,10,2,,2,,1,,6,,4,,10,,,,
